index,title,author,dynasty,content,favor
57,蜀相,杜甫,唐,映阶碧草自春色，隔叶黄鹂空好音。丞相祠堂何处寻，锦官城外柏森森。三顾频烦天下计，两朝开济老臣心。出师未捷身先死，长使英雄泪满襟。,663.0
58,水槛遣心二首,杜甫,唐,其一其二去郭轩楹敞，无村眺望赊。澄江平少岸，幽树晚多花。细雨鱼儿出，微风燕子斜。城中十万户，此地两三家。蜀天常夜雨，江槛已朝晴。叶润林塘密，衣干枕席清。不堪祗老病，何得尚浮名。浅把涓涓酒，深凭送此生。,781.0
59,宿府,杜甫,唐,清秋幕府井梧寒，独宿江城蜡炬残。永夜角声悲自语，中天月色好谁看。风尘荏苒音书绝，关塞萧条行路难。已忍伶俜十年事，强移栖息一枝安。,615.0
60,天末怀李白,杜甫,唐,凉风起天末，君子意如何。鸿雁几时到，江湖秋水多。文章憎命达，魑魅喜人过。应共冤魂语，投诗赠汨罗。,677.0
61,庭草,杜甫,唐,楚草经寒碧，逢春入眼浓。看花随节序，不敢强为容。旧低收叶举，新掩卷牙重。步履宜轻过，开筵得屡供。,532.0
62,潼关吏,杜甫,唐,艰难奋长戟，万古用一夫。”胡来但自守，岂复忧西都。请嘱防关将，慎勿学哥舒！”士卒何草草，筑城潼关道。丈人视要处，窄狭容单车。借问潼关吏：“修关还备胡？”“哀哉桃林战，百万化为鱼。“连云列战格，飞鸟不能逾。大城铁不如，小城万丈余。要我下马行，为我指山隅：,118.0
63,望岳,杜甫,唐,岱宗夫如何？齐鲁青未了。会当凌绝顶，一览众山小。荡胸生曾云，决眦入归鸟。造化钟神秀，阴阳割昏晓。,783.0
64,韦讽录事宅观曹将军画马图,杜甫,唐,国初已来画鞍马，神妙独数江都王。其余七匹亦殊绝，迥若寒空动烟雪。忆昔巡幸新丰宫，翠华拂天来向东。贵戚权门得笔迹，始觉屏障生光辉。腾骧磊落三万匹，皆与此图筋骨同。可怜九马争神骏，顾视清高气深稳。今之新图有二马，复令识者久叹嗟。曾貌先帝照夜白，龙池十日飞霹雳。借问苦心爱者谁，后有韦讽前支遁。盘赐将军拜舞归，轻纨细绮相追飞。将军得名三十载，人间又见真乘黄。霜蹄蹴踏长楸间，马官厮养森成列。昔日太宗拳毛騧，近时郭家狮子花。此皆骑战一敌万，缟素漠漠开风沙。内府殷红玛瑙盘，婕妤传诏才人索。自从献宝朝河宗，无复射蛟江水中。,511.0
65,闻官军收河南河北,杜甫,唐,剑外忽传收蓟北，初闻涕泪满衣裳。即从巴峡穿巫峡，便下襄阳向洛阳。却看妻子愁何在，漫卷诗书喜欲狂。白日放歌须纵酒，青春作伴好还乡。,920.0
66,无家别,杜甫,唐,我里百余家，世乱各东西。存者无消息，死者为尘泥。宿鸟恋本枝，安辞且穷栖。方春独荷锄，日暮还灌畦。但对狐与狸，竖毛怒我啼。近行止一身，远去终转迷。永痛长病母，五年委沟溪。家乡既荡尽，远近理亦齐。久行见空巷，日瘦气惨凄，生我不得力，终身两酸嘶。四邻何所有，一二老寡妻。县吏知我至，召令习鼓鞞。虽从本州役，内顾无所携。贱子因阵败，归来寻旧蹊。人生无家别，何以为蒸黎。寂寞天宝后，园庐但蒿藜。,689.0
67,洗兵马,杜甫,唐,只残邺城不日得，独任朔方无限功。已喜皇威清海岱，常思仙仗过崆峒。汝等岂知蒙帝力，时来不得夸身强。张公一身江海客，身长九尺须眉苍。河广传闻一苇过，胡危命在破竹中。不知何国致白环，复道诸山得银瓮。三年笛里关山月，万国兵前草木风。京师皆骑汗血马，回纥喂肉葡萄宫。鹤驾通宵凤辇备，鸡鸣问寝龙楼晓。二三豪俊为时出，整顿乾坤济时了。成王功大心转小，郭相谋深古来少。中兴诸将收山东，捷书夜报清昼同。青袍白马更何有，后汉今周喜再昌。寸地尺天皆入贡，奇祥异瑞争来送。司徒清鉴悬明镜，尚书气与秋天杳。淇上健儿归莫懒，城南思妇愁多梦。田家望望惜雨干，布谷处处催春种。攀龙附凤势莫当，天下尽化为侯王。征起适遇风云会，扶颠始知筹策良。青春复随冠冕入，紫禁正耐烟花绕。安得壮士挽天河，尽洗甲兵长不用。东走无复忆鲈鱼，南飞觉有安巢鸟。隐士休歌紫芝曲，词人解撰河清颂。关中既留萧丞相，幕下复用张子房。,852.0
68,戏为六绝句,杜甫,唐,未及前贤更勿疑，递相祖述复先谁。别裁伪体亲风雅，转益多师是汝师。庾信文章老更成，凌云健笔意纵横。今人嗤点流传赋，不觉前贤畏后生。才力应难跨数公，凡今谁是出群雄。或看翡翠兰苕上，未掣鲸鱼碧海中。王杨卢骆当时体，轻薄为文哂未休。尔曹身与名俱灭，不废江河万古流。不薄今人爱古人，清词丽句必为邻。窃攀屈宋宜方驾，恐与齐梁作后尘。纵使卢王操翰墨，劣于汉魏近风骚。龙文虎脊皆君驭，历块过都见尔曹。,115.0
69,萧八明府堤处觅桃栽,杜甫,唐,奉乞桃栽一百根，春前为送浣花村。河阳县里虽无数，濯锦江边未满园。,728.0
70,乐仙诗派,李白,唐,冥蒙浮世烟，清气水中天。万事皆为乐，无情便是仙。,823.0
71,登仙,李白,唐,远山渺邈芒，心重路彷徨。岩前黯自伤。仙境何时到?,621.0
72,高三,李白,唐,六天锁在校园中，转日行云月夜空。寂寞高三平淡淡，天涯是客太匆匆。我欲乘风东逝去，魂飞千里到天宫。欢歌一曲追明月，浪打潮生驾玉龙！,239.0
73,舞曲歌辞·白鸠辞,李白,唐,胡为啄我葭下之紫鳞。鹰鹯雕鹗，贪而好杀。凤凰虽大圣，不愿以为臣。霜衣雪襟诚可珍。含哺七子能平均。食不咽，性安驯。铿鸣钟，考朗鼓。歌白鸠，引拂舞。白鸠之白谁与邻，首农政，鸣阳春。天子刻玉杖，镂形赐耆人。白鹭亦白非纯真，外洁其色心匪仁。阙五德，无司晨，,104.0
74,白头吟二首（其一）,李白,唐,锦水东北流，波荡双鸳鸯。雄巢汉宫树，雌弄秦草芳。宁同万死碎绮翼，不忍云间两分张。此时阿娇正娇妒，独坐长门愁日暮。但愿君恩顾妾深，岂惜黄金买词赋。相如作赋得黄金，丈夫好新多异心。一朝将聘茂陵女，文君因赠白头吟。东流不作西归水，落花辞条归故林。兔丝固无情，随风任倾倒。谁使女萝枝，而来强萦抱。两草犹一心，人心不如草。莫卷龙须席，从他生网丝。且留琥珀枕，或有梦来时。覆水再收岂满杯，弃妾已去难重回。古来得意不相负，只今惟见青陵台。,132.0
75,白云歌送刘十六归山,李白,唐,湘水上，女萝衣，白云堪卧君早归。楚山秦山皆白云，白云处处长随君。长随君，君入楚山里，云亦随君渡湘水。,350.0
76,北风行,李白,唐,燕山雪花大如席，片片吹落轩辕台。中有一双白羽箭，蜘蛛结网生尘埃。幽州思妇十二月，停歌罢笑双蛾摧。黄河捧土尚可塞，北风雨雪恨难裁。别时提剑救边去，遗此虎文金鞞靫。日月照之何不及此？惟有北风号怒天上来。箭空在，人今战死不复回。倚门望行人，念君长城苦寒良可哀。不忍见此物，焚之已成灰。烛龙栖寒门，光曜犹旦开。,600.0
